 "projUri" , "fileCount" , "size" , "maxCreated" , "maxIdentifier" , "maxModified" , "maxTitle" , "maxFedCreated" , "maxPubStatus" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114409" , "5" , "150573" , "2013-08-01T00:00:00" , "114409" ,  , "Replication data for: Detecting Learning by Exporting" , "2019-10-13T03:35:57.277Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114614" , "5" , "364896" , "2016-05-01T00:00:00" , "114614" ,  , "Replication data for: Friendship at Work: Can Peer Effects Catalyze Female Entrepreneurship?" , "2019-10-13T07:31:13.285Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114505" , "6" , "10581321" , "2019-05-01T00:00:00" , "114505" ,  , "Replication data for: A Reason to Wait: The Effect of Legal Status on Teen Pregnancy" , "2019-10-13T05:32:12.325Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114626" , "101" , "22854175" , "2018-02-01T00:00:00" , "114626" ,  , "Replication data for: Do Restrictions on Home Equity Extraction Contribute to Lower Mortgage Defaults? Evidence from a Policy Discontinuity at the Texas Border" , "2019-10-13T07:59:18.059Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114735" , "8" , "2838371" , "2010-05-01T00:00:00" , "114735" ,  , "Replication data for: A Greater Price for a Greater Good? Evidence That Consumers Pay More for Charity-Linked Products" , "2019-10-13T10:17:04.59Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114517" , "4" , "428658" , "2019-05-01T00:00:00" , "114517" ,  , "Replication data for: Emotional Tagging and Belief Formation: The Long-Lasting Effects of Experiencing Communism" , "2019-10-13T05:35:08.66Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114638" , "20" , "2497672" , "2017-02-01T00:00:00" , "114638" ,  , "Replication data for: Does It Pay to Know Prices in Health Care?" , "2019-10-13T08:06:26.908Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114529" , "6" , "427871" , "2019-05-01T00:00:00" , "114529" ,  , "Replication data for: Labor Market Conditions and Discrimination: Is There a Link?" , "2019-10-13T05:39:09.635Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114290" , "34" , "183749227" , "2014-01-01T00:00:00" , "114290" ,  , "Replication data for: Some Evidence on the Importance of Sticky Wages" , "2019-10-13T01:57:49.383Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114711" , "9" , "4408411" , "2018-08-01T00:00:00" , "114711" ,  , "Replication data for: Projections and Uncertainties about Climate Change in an Era of Minimal Climate Policies" , "2019-10-13T10:03:29.198Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114602" , "14" , "1410145" , "2015-08-01T00:00:00" , "114602" ,  , "Replication data for: Taxpayer Search for Information: Implications for Rational Attention" , "2019-10-13T07:22:25.674Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114723" , "19" , "902846372" , "2019-02-01T00:00:00" , "114723" ,  , "Replication data for: Who Really Benefits from Consumption Tax Cuts? Evidence from a Large VAT Reform in France" , "2019-10-13T10:10:15.22Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114408" , "437" , "446114693" , "2013-08-01T00:00:00" , "114408" ,  , "Replication data for: Too Far Away? The Effect of Distance to Headquarters on Business Establishment Performance" , "2019-10-13T03:29:35.729Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114603" , "8" , "26534218" , "2016-02-01T00:00:00" , "114603" ,  , "Replication data for: Of Mice and Academics: Examining the Effect of Openness on Innovation" , "2019-10-13T07:22:40.632Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114724" , "7" , "95415" , "2019-05-01T00:00:00" , "114724" ,  , "Replication data for: Early School Exposure, Test Scores, and Noncognitive Outcomes" , "2019-10-13T10:11:47.671Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114736" , "4" , "467655" , "2010-05-01T00:00:00" , "114736" ,  , "Replication data for: The Micro-geography of Tax Avoidance: Evidence from Littered Cigarette Packs in Chicago" , "2019-10-13T10:17:26.879Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114615" , "10" , "91096" , "2016-05-01T00:00:00" , "114615" ,  , "Replication data for: Why Is Infant Mortality Higher in the United States Than in Europe?" , "2019-10-13T07:31:24.561Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114506" , "5" , "58559" , "2019-05-01T00:00:00" , "114506" ,  , "Replication data for: Attainment Effects of Student Loans and Pell Grants" , "2019-10-13T05:32:22.61Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114627" , "12" , "1725995846" , "2018-11-01T00:00:00" , "114627" ,  , "Replication data for: Taxes and US Oil Production: Evidence from California and the Windfall Profit Tax" , "2019-10-13T08:01:20.155Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114518" , "87" , "16185642" , "2019-05-01T00:00:00" , "114518" ,  , "Replication data for: Flow Origins of Labor Force Participation Fluctuations" , "2019-10-13T05:35:20.584Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114639" , "179" , "234239626" , "2018-05-01T00:00:00" , "114639" ,  , "Replication data for: Fiscal Centralization: Theory and Evidence from the Great Depression" , "2019-10-13T08:07:01.464Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114700" , "7" , "12000716" , "2019-05-01T00:00:00" , "114700" ,  , "Replication data for: Geographic Cross-Sectional Fiscal Spending Multipliers: What Have We Learned?" , "2019-10-13T09:43:47.716Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114712" , "35" , "159740211" , "2019-02-01T00:00:00" , "114712" ,  , "Replication data for: Direct and Spillover Effects of Middle School Vaccination Requirements" , "2019-10-13T10:03:44.838Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114419" , "6" , "1113366" , "2014-08-01T00:00:00" , "114419" ,  , "Replication data for: Local Institutions and the Dynamics of Community Sorting" , "2019-10-13T03:42:29.295Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114407" , "11" , "1369901" , "2013-08-01T00:00:00" , "114407" ,  , "Replication data for: Contracts for Agents with Biased Beliefs: Some Theory and an Experiment" , "2019-10-13T03:28:59.531Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114515" , "16" , "5205723" , "2019-05-01T00:00:00" , "114515" ,  , "Replication data for: How Elastic is the Demand for Tax Havens? Evidence from the US Possessions Corporations Tax Credit" , "2019-10-13T05:34:43.192Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114636" , "7" , "49472772" , "2017-05-01T00:00:00" , "114636" ,  , "Replication data for: Illegal Immigration, State Law, and Deterrence" , "2019-10-13T08:06:05.732Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114527" , "5" , "3898722" , "2019-05-01T00:00:00" , "114527" ,  , "Replication data for: A Well-Being Snapshot in a Changing World" , "2019-10-13T05:38:50.015Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114648" , "15" , "109427251" , "2017-05-01T00:00:00" , "114648" ,  , "Replication data for: Strategic Policy Choice in State-Level Regulation: The EPA's Clean Power Plan" , "2019-10-13T09:08:45.348Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114539" , "189" , "109195859" , "2009-02-01T00:00:00" , "114539" ,  , "Replication data for: Who Misvotes? The Effect of Differential Cognition Costs on Election Outcomes" , "2019-10-13T05:41:22.127Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114600" , "16" , "108216" , "2018-11-01T00:00:00" , "114600" ,  , "Replication data for: The Decline, Rebound, and Further Rise in SNAP Enrollment: Disentangling Business Cycle Fluctuations and Policy Changes" , "2019-10-13T07:18:51.469Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114721" , "41" , "1392294747" , "2019-05-01T00:00:00" , "114721" ,  , "Replication data for: Snapping Back: Food Stamp Bans and Criminal Recidivism" , "2019-10-13T10:06:37.018Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114612" , "16" , "1119123" , "2018-11-01T00:00:00" , "114612" ,  , "Replication data for: How Initial Conditions Can Have Permanent Effects: The Case of the Affordable Care Act" , "2019-10-13T07:30:23.397Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114503" , "9" , "13076895" , "2019-05-01T00:00:00" , "114503" ,  , "Replication data for: Exports and Invoicing: Evidence from the 2015 Swiss Franc Appreciation" , "2019-10-13T05:31:50.386Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114624" , "30" , "3046307" , "2017-05-01T00:00:00" , "114624" ,  , "Replication data for: Are State Governments Roadblocks to Federal Stimulus? Evidence on the Flypaper Effect of Highway Grants in the 2009 Recovery Act" , "2019-10-13T07:47:16.724Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114733" , "8" , "47685" , "2010-05-01T00:00:00" , "114733" ,  , "Replication data for: Estimating the Effect of Student Aid on College Enrollment: Evidence from a Government Grant Policy Reform" , "2019-10-13T10:16:27.21Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114309" , "2" , "527055" , "2014-10-01T00:00:00" , "114309" ,  , "Replication data for: The Political Economy of the Greek Debt Crisis: A Tale of Two Bailouts" , "2019-10-13T02:07:06.202Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114418" , "9" , "10089461" , "2014-05-01T00:00:00" , "114418" ,  , "Replication data for: Vendettas" , "2019-10-13T03:42:16.736Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114406" , "61" , "959929689" , "2013-05-01T00:00:00" , "114406" ,  , "Replication data for: Marry for What? Caste and Mate Selection in Modern India" , "2019-10-13T03:27:24.784Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114504" , "5" , "120786" , "2019-05-01T00:00:00" , "114504" ,  , "Replication data for: Mobile Wallet and Entrepreneurial Growth" , "2019-10-13T05:32:03.174Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114625" , "133" , "8716575652" , "2017-11-01T00:00:00" , "114625" ,  , "Replication data for: Consumers' Response to State Energy Efficient Appliance Rebate Programs" , "2019-10-13T07:50:00.512Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114516" , "4" , "52156" , "2019-05-01T00:00:00" , "114516" ,  , "Replication data for: Four Years Later: Insurance Coverage and Access to Care Continue to Diverge between ACA Medicaid Expansion and Non-Expansion States" , "2019-10-13T05:35:01.134Z" , "PUBLISHED" ,
 "https://fedora.prod.icpsr.umich.edu/fedora/rest/openicpsr/114637" , "6" , "61862" , "2018-11-01T00:00:00" , "114637" ,  , "Replication data for: From Selling Goods to Selling Services: Firm Responses to Trade Liberalization" , "2019-10-13T08:06:17.159Z" , "PUBLISHED" ,
